CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2016,Capital,45137,MÚSICA - FLAUTA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,17,7,12,2,3,4,0,1,0
2017,Capital,45137,MÚSICA - FLAUTA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,16,6,12,2,2,2,2,0,0
2018,Capital,45137,MÚSICA - FLAUTA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,14,9,10,1,2,2,2,0,0
2014,Capital,45138,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,8,4,0,0,0,1,0,0
2015,Capital,45138,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,4,7,3,0,0,1,0,0,0
2016,Capital,45138,MÚSICA - VIOLONCELO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,4,6,3,1,0,1,0,0,0
2017,Capital,45138,MÚSICA - VIOLONCELO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,3,4,2,1,0,0,1,0,0
2018,Capital,45138,MÚSICA - VIOLONCELO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,1,4,0,0,0,0,1,0,0
2014,Capital,45142,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,46,12,36,4,1,4,5,1,0
2015,Capital,45142,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,46,15,37,6,7,6,3,0,0
2016,Capital,45142,MÚSICA - VIOLÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,43,11,33,5,6,7,2,1,0
2017,Capital,45142,MÚSICA - VIOLÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,43,13,34,4,8,5,3,1,0
2018,Capital,45142,MÚSICA - VIOLÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,39,13,28,4,3,7,4,0,0
2014,Capital,45145,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,42,14,39,11,7,0,2,1,0
2015,Capital,45145,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,35,14,34,7,7,1,0,0,0
2016,Capital,45145,MÚSICA - PIANO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,34,15,27,4,5,4,2,1,0
2017,Capital,45145,MÚSICA - PIANO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,38,17,33,4,10,4,1,0,0
2018,Capital,45145,MÚSICA - PIANO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,39,16,29,5,6,4,3,3,0
2014,Capital,45148,MÚSICA - INSTRUMENTO DE PERCUSSÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,7,7,5,0,0,0,2,0,0
2015,Capital,45148,MÚSICA - INSTRUMENTO DE PERCUSSÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,6,3,0,0,2,0,0,0
2016,Capital,45148,MÚSICA - INSTRUMENTO DE PERCUSSÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,5,5,1,0,0,0,0,0
2017,Capital,45148,MÚSICA - INSTRUMENTO DE PERCUSSÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,6,3,5,1,2,1,0,0,0
2018,Capital,45148,MÚSICA - INSTRUMENTO DE PERCUSSÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,9,6,7,2,4,2,0,0,0
2014,Capital,45149,MÚSICA - OBOÉ,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,4,4,3,0,0,1,0,0
2015,Capital,45149,MÚSICA - OBOÉ,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,2,7,1,0,1,1,0,0,0
2016,Capital,45149,MÚSICA - OBOÉ,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,3,7,2,0,1,1,0,0,0
2017,Capital,45149,MÚSICA - OBOÉ,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,3,9,2,0,0,0,1,0,0
2018,Capital,45149,MÚSICA - OBOÉ,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,3,7,3,0,1,0,0,0,0
2014,Capital,45150,MÚSICA - SAXOFONE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,16,11,11,1,3,3,2,0,0
2015,Capital,45150,MÚSICA - SAXOFONE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,16,10,11,2,3,4,1,0,0
2016,Capital,45150,MÚSICA - SAXOFONE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,14,10,8,1,1,5,1,0,0
2017,Capital,45150,MÚSICA - SAXOFONE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,15,6,10,2,3,4,1,0,0
2018,Capital,45150,MÚSICA - SAXOFONE,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,13,14,8,3,1,1,3,1,0
2014,Capital,45197,MÚSICA - ÓRGÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,8,4,0,1,0,1,0,0
2015,Capital,45197,MÚSICA - ÓRGÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,5,10,4,1,1,0,1,0,0
2016,Capital,45197,MÚSICA - ÓRGÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,3,9,2,0,0,1,0,0,0
2017,Capital,45197,MÚSICA - ÓRGÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,3,6,2,0,0,1,0,0,0
2018,Capital,45197,MÚSICA - ÓRGÃO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,4,7,3,1,1,1,0,0,0
2018,Capital,45199,MÚSICA - CONTRABAIXO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,2,9,2,0,2,0,0,0,0
2014,Capital,45201,MÚSICA - TUBA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,4,10,4,0,1,0,0,0,0
2015,Capital,45201,MÚSICA - TUBA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,6,12,5,1,2,1,0,0,0
2016,Capital,45201,MÚSICA - TUBA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,7,10,4,0,2,2,0,1,0
2017,Capital,45201,MÚSICA - TUBA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,7,13,2,0,1,3,1,1,0
2018,Capital,45201,MÚSICA - TUBA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,7,20,4,1,2,2,1,0,0
2014,Capital,45202,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,13,8,10,2,0,2,1,0,0
2015,Capital,45202,MÚSICA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,10,9,6,2,0,3,1,0,0
2016,Capital,45202,MÚSICA - CLARINETA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,12,8,11,3,3,0,1,0,0
2017,Capital,45202,MÚSICA - CLARINETA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,10,11,6,0,1,3,1,0,0
2018,Capital,45202,MÚSICA - CLARINETA,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,11,14,9,2,1,0,2,0,0
2014,Capital,85786,MÚSICA,Licenciatura,Graduação Presencial,ESCOLA DE MÚSICA,190,36,151,14,32,18,20,1,0
2015,Capital,85786,MÚSICA,Licenciatura,Graduação Presencial,ESCOLA DE MÚSICA,186,39,145,18,30,30,7,4,0
2016,Capital,85786,MÚSICA,Licenciatura,Graduação Presencial,ESCOLA DE MÚSICA,192,34,151,21,35,28,10,3,0
2017,Capital,85786,MÚSICA,Licenciatura,Graduação Presencial,ESCOLA DE MÚSICA,194,32,157,12,30,22,12,3,0
2018,Capital,85786,MÚSICA,Licenciatura,Graduação Presencial,ESCOLA DE MÚSICA,197,28,148,16,27,23,22,4,0
2014,Capital,99324,MÚSICA - CRAVO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,3,7,1,0,0,2,0,0,0
2015,Capital,99324,MÚSICA - CRAVO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,4,6,4,0,1,0,0,0,0
2016,Capital,99324,MÚSICA - CRAVO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,4,5,4,2,0,0,0,0,0
