ano,periodoOuMes,Centro,Faculdade/ Escola,curso,nivel,QTD
1974,Nov,,,Engenharia Química,Mestrado,1
1974,Out,,,Engenharia Biomédica,Mestrado,1
1974,Out,,,Engenharia Civil,Mestrado,1
1974,Out,,,Engenharia de Produção,Doutorado,1
1974,Out,,,Engenharia de Produção,Mestrado,2
1974,Out,,,Engenharia de Sistemas e Computação,Mestrado,2
1974,Out,,,Engenharia Elétrica,Doutorado,1
1974,Out,,,Engenharia Nuclear,Mestrado,1
1974,Out,,,Engenharia Química,Mestrado,2
1974,Out,,,Planejamento Urbano e Regional  (Mestrado),Mestrado,1
1974,Set,,,Engenharia Civil,Mestrado,1
1974,Set,,,Engenharia de Sistemas e Computação,Mestrado,4
1986,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,55
1986,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,38
1986,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1987,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,29
1987,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,27
1987,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1988,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,45
1988,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,37
1989,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,28
1989,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,26
1990,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,52
1990,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1990,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,31
1991,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,41
1991,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,35
1992,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,58
1992,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,50
1992,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1993,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,69
1993,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,36
1993,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1994,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,54
1994,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,47
1994,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,1
1995,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,50
1995,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,26
1996,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,65
1996,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,52
1997,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,56
