CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,,0,770,0,0,0,0,0,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,85,0,9,1,12,60,16,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Consórcio CEDERJ - Duque de Caxias,302,0,22,3,98,213,67,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ITAPERUNA,84,0,8,2,19,60,16,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - MACAÉ - UNED MACAÉ - CEFET,109,0,7,0,31,81,21,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),315,0,19,3,90,241,55,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PARACAMBI - CENTRO TECNOLÓGICO UNIVERSITÁRIO DE PARACAMBI,123,0,10,2,28,94,19,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - CAMPO GRANDE - INST DE EDUC SARA KUBITSCHEK,317,0,22,4,96,241,54,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,223,0,7,0,86,175,41,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - TRÊS RIOS - ESCOLA MUNICIPAL WALTER FRANKLIN,72,0,3,0,20,56,13,0,0
2015,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - VOLTA REDONDA - PÓLO PROFESSOR DARCY RIBEIRO,168,0,7,0,59,126,35,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,,0,750,0,0,0,0,0,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,81,0,2,1,13,57,22,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Consórcio CEDERJ - Duque de Caxias,327,0,17,1,91,236,74,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ITAPERUNA,85,0,8,2,20,53,24,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - MACAÉ - UNED MACAÉ - CEFET,154,0,6,0,64,114,34,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),340,0,20,0,83,244,76,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PARACAMBI - CENTRO TECNOLÓGICO UNIVERSITÁRIO DE PARACAMBI,127,0,9,1,24,88,30,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - CAMPO GRANDE - INST DE EDUC SARA KUBITSCHEK,352,0,19,3,90,262,71,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,256,0,5,0,72,187,64,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - TRÊS RIOS - ESCOLA MUNICIPAL WALTER FRANKLIN,83,0,7,0,23,52,24,0,0
2016,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - VOLTA REDONDA - PÓLO PROFESSOR DARCY RIBEIRO,192,0,8,0,56,139,45,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,,0,788,0,0,0,0,0,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,79,0,30,2,19,33,16,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Consórcio CEDERJ - Duque de Caxias,354,0,164,1,98,141,49,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ITAPERUNA,90,0,42,1,28,30,18,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - MACAÉ - UNED MACAÉ - CEFET,190,0,84,0,68,82,24,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),374,0,197,1,111,132,45,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PARACAMBI - CENTRO TECNOLÓGICO UNIVERSITÁRIO DE PARACAMBI,124,0,61,0,29,45,18,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - CAMPO GRANDE - INST DE EDUC SARA KUBITSCHEK,384,0,179,2,97,149,56,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,278,0,129,2,82,105,44,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - TRÊS RIOS - ESCOLA MUNICIPAL WALTER FRANKLIN,79,0,33,2,20,33,13,0,0
2017,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - VOLTA REDONDA - PÓLO PROFESSOR DARCY RIBEIRO,214,0,104,3,63,79,31,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,,0,920,0,0,0,0,0,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Consórcio CEDERJ - Duque de Caxias,402,0,180,4,98,55,167,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),424,0,205,4,99,54,165,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,82,0,34,1,21,16,32,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ITAPERUNA,91,0,33,1,21,15,43,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - MACAÉ - UNED MACAÉ - CEFET,223,0,91,1,55,35,97,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PARACAMBI - CENTRO TECNOLÓGICO UNIVERSITÁRIO DE PARACAMBI,132,0,68,1,29,21,43,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - CAMPO GRANDE - INST DE EDUC SARA KUBITSCHEK,426,0,189,1,99,65,172,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - TRÊS RIOS - ESCOLA MUNICIPAL WALTER FRANKLIN,85,0,35,1,23,11,39,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - VOLTA REDONDA - PÓLO PROFESSOR DARCY RIBEIRO,225,0,93,3,46,38,94,0,0
2018,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,316,0,132,1,84,62,122,0,0
2014,Capital,71061,MATEMÁTICA APLICADA,Bacharelado,Graduação Presencial,Cidade Universitária,110,29,87,20,29,5,16,2,0
2015,Capital,71061,MATEMÁTICA APLICADA,Bacharelado,Graduação Presencial,Cidade Universitária,107,44,85,23,28,11,10,1,0
2016,Capital,71061,MATEMÁTICA APLICADA,Bacharelado,Graduação Presencial,Cidade Universitária,112,31,75,14,30,24,10,3,0
2017,Capital,71061,MATEMÁTICA APLICADA,Bacharelado,Graduação Presencial,Cidade Universitária,117,49,88,22,32,15,11,3,0
2018,Capital,71061,MATEMÁTICA APLICADA,Bacharelado,Graduação Presencial,Cidade Universitária,117,32,83,13,27,15,18,1,0
2014,Capital,85783,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,657,144,530,59,118,62,62,3,0
2015,Capital,85783,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,662,117,520,34,111,69,69,4,0
2016,Capital,85783,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,667,111,472,46,104,133,54,8,0
2017,Capital,85783,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,698,122,546,36,127,98,48,6,0
2018,Capital,85783,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,727,132,551,43,116,115,56,5,0
2014,Capital,116844,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,Graduação Presencial,Cidade Universitária,857,415,511,7,299,84,170,92,0
2015,Capital,116844,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,Graduação Presencial,Cidade Universitária,887,358,499,4,285,137,164,87,0
2016,Capital,116844,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,Graduação Presencial,Cidade Universitária,909,326,465,8,277,207,154,83,0
2017,Capital,116844,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,Graduação Presencial,Cidade Universitária,948,416,568,6,276,131,171,78,0
2018,Capital,116844,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,Graduação Presencial,Cidade Universitária,978,474,556,10,284,125,226,71,0
2014,Capital,116846,CIÊNCIAS MATEMÁTICAS E DA TERRA - SENSORIAMENTO REMOTO E GEOPROCESSAMENTO,Bacharelado,Graduação Presencial,Cidade Universitária,29,51,29,0,17,0,0,0,0
2015,Capital,116846,CIÊNCIAS MATEMÁTICAS E DA TERRA - SENSORIAMENTO REMOTO E GEOPROCESSAMENTO,Bacharelado,Graduação Presencial,Cidade Universitária,47,18,39,3,18,7,1,0,0
2016,Capital,116846,CIÊNCIAS MATEMÁTICAS E DA TERRA - SENSORIAMENTO REMOTO E GEOPROCESSAMENTO,Bacharelado,Graduação Presencial,Cidade Universitária,54,11,42,9,11,11,0,1,0
2017,Capital,116846,CIÊNCIAS MATEMÁTICAS E DA TERRA - SENSORIAMENTO REMOTO E GEOPROCESSAMENTO,Bacharelado,Graduação Presencial,Cidade Universitária,52,7,33,7,7,10,8,1,0
