ano,periodo,Centro,Faculdade/ Escola,curso,nivel,QTD-ingressante
2010,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,4
2011,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
1985,2,,,História,Mestrado,2
1985,2,,,Historia da Arte,Mestrado,11
1985,2,,,Letras (Ciência da Literatura),Doutorado,2
1985,2,,,Letras (Ciência da Literatura),Mestrado,3
1985,2,,,Letras (Letras Vernáculas),Mestrado,5
1985,2,,,Letras (Lingüística e Filologia),Mestrado,1
1985,2,,,Letras - Linguística e Filologia (Doutorado),Doutorado,1
1985,2,,,Letras Neolatinas,Mestrado,2
2012,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2013,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2013,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,3
2014,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2014,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
2015,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
1985,2,,,Matemática,Doutorado,1
2016,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
1985,2,,,Matemática,Mestrado,1
2016,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,3
2017,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
1985,2,,,Nutrologia                       ,Mestrado,1
1985,2,,,Odontologia ,Doutorado,2
2018,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
1981,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,1
1984,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,1
1985,2,,,Planejamento Urbano e Regional,Mestrado,19
1985,2,,,Psicologia,Mestrado,13
1985,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,1
1985,2,,,Química Orgânica ,Doutorado,1
1985,2,,,Química Orgânica    ,Mestrado,1
1986,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,10
1985,2,,,Tecnologia de Processos Químic e Bioquímicos,Mestrado,3
1986,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,13
1986,1,,,Administração,Doutorado,1
1986,1,,,Administração,Mestrado,57
1986,1,,,Anatomia Humana                  (Mestrado),Mestrado,7
1986,1,,,Anestesiologia                ,Mestrado,4
1986,1,,,Antropologia Social,Mestrado,9
1987,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,11
1987,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,11
1988,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,11
1988,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,12
1989,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,14
1989,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,10
1990,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,11
1990,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,13
1991,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,17
1991,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,22
1992,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,19
1992,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,22
1993,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,20
1993,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,18
1994,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,13
1994,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,21
1995,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,20
1995,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Produção Editorial,Graduação,19
1986,1,,,Bioquímica,Doutorado,1
1986,1,,,Bioquímica,Mestrado,6
1986,1,,,Ciênc. Biol.- Farm. e Terap. Exp. ,Mestrado,5
